state,SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,value
"{'delay': 4368.0, 'rssi': -34.0, 'snr': 11.25, 'time_over_air': 1971.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 1}",7,887,125,5,2,0,200,57,80,1,0.02019738333
"{'delay': 4368.0, 'rssi': -27.0, 'snr': 11.25, 'time_over_air': 1971.0, 'bytes_per_second': 4.0, 'chunks_count': 1.0, 'attempt': 2}",6,869,125,5,12,1,200,29,100,1,0.030318325000000004
"{'delay': 448.0, 'rssi': -8.0, 'snr': 6.5, 'time_over_air': 29.0, 'bytes_per_second': 310.0, 'chunks_count': 1.0, 'attempt': 1}",6,879,250,8,10,1,200,15,100,1,0.03541056
"{'delay': 351.0, 'rssi': -6.0, 'snr': 7.0, 'time_over_air': 14.0, 'bytes_per_second': 642.0, 'chunks_count': 1.0, 'attempt': 1}",9,872,125,7,11,0,200,45,100,1,0.027392903330000003
"{'delay': 789.0, 'rssi': -11.0, 'snr': 10.0, 'time_over_air': 321.0, 'bytes_per_second': 28.0, 'chunks_count': 1.0, 'attempt': 1}",10,879,500,5,2,0,200,13,80,1,0.02772256667
"{'delay': 235.0, 'rssi': -18.0, 'snr': 6.5, 'time_over_air': 73.0, 'bytes_per_second': 123.0, 'chunks_count': 1.0, 'attempt': 1}",12,863,250,5,17,0,200,53,120,1,0.02074391667
"{'delay': 2795.0, 'rssi': -12.0, 'snr': 11.5, 'time_over_air': 1233.0, 'bytes_per_second': 7.0, 'chunks_count': 1.0, 'attempt': 1}",8,881,500,7,6,0,200,9,80,1,0.03204514333
"{'delay': 111.0, 'rssi': -17.0, 'snr': 6.75, 'time_over_air': 22.0, 'bytes_per_second': 409.0, 'chunks_count': 1.0, 'attempt': 1}",12,886,500,6,3,0,200,51,80,1,0.02325365667
"{'delay': 1401.0, 'rssi': -16.0, 'snr': 6.75, 'time_over_air': 617.0, 'bytes_per_second': 14.0, 'chunks_count': 1.0, 'attempt': 1}",7,863,500,5,16,0,200,13,120,1,0.0349499
"{'delay': 84.0, 'rssi': -9.0, 'snr': 5.25, 'time_over_air': 12.0, 'bytes_per_second': 750.0, 'chunks_count': 1.0, 'attempt': 1}",9,871,500,8,3,0,200,53,80,1,0.028489490000000003
"{'delay': 265.0, 'rssi': -19.0, 'snr': 7.75, 'time_over_air': 92.0, 'bytes_per_second': 97.0, 'chunks_count': 1.0, 'attempt': 1}",7,884,125,5,3,0,200,67,80,1,0.030310773330000002
"{'delay': 276.0, 'rssi': -19.0, 'snr': 9.75, 'time_over_air': 102.0, 'bytes_per_second': 88.0, 'chunks_count': 1.0, 'attempt': 1}",12,877,500,7,8,0,200,8,100,1,0.026230305
"{'delay': 746.0, 'rssi': -9.0, 'snr': 8.0, 'time_over_air': 281.0, 'bytes_per_second': 32.0, 'chunks_count': 1.0, 'attempt': 1}",8,884,125,7,11,0,200,80,100,1,0.030352940000000002
"{'delay': 566.0, 'rssi': -10.0, 'snr': 12.0, 'time_over_air': 232.0, 'bytes_per_second': 38.0, 'chunks_count': 1.0, 'attempt': 1}",11,889,250,7,14,0,200,99,120,1,0.02115208333
"{'delay': 2293.0, 'rssi': -7.0, 'snr': 11.75, 'time_over_air': 1027.0, 'bytes_per_second': 8.0, 'chunks_count': 1.0, 'attempt': 1}",10,866,500,5,12,0,200,41,100,1,0.025896166669999998
"{'delay': 349.0, 'rssi': -14.0, 'snr': 6.25, 'time_over_air': 130.0, 'bytes_per_second': 69.0, 'chunks_count': 1.0, 'attempt': 1}",12,888,500,5,7,0,200,66,80,1,0.022143533330000003
"{'delay': 1598.0, 'rssi': -8.0, 'snr': 7.25, 'time_over_air': 723.0, 'bytes_per_second': 12.0, 'chunks_count': 1.0, 'attempt': 1}",9,887,250,5,17,0,200,66,120,1,0.02900822333
"{'delay': 472.0, 'rssi': -6.0, 'snr': 14.0, 'time_over_air': 191.0, 'bytes_per_second': 47.0, 'chunks_count': 1.0, 'attempt': 1}",9,874,250,8,15,0,200,82,120,1,0.029671396670000003
"{'delay': 593.0, 'rssi': -8.0, 'snr': 14.0, 'time_over_air': 243.0, 'bytes_per_second': 37.0, 'chunks_count': 1.0, 'attempt': 1}",12,873,250,5,5,0,200,76,80,1,0.02215251667
"{'delay': 3549.0, 'rssi': -16.0, 'snr': 12.75, 'time_over_air': 1610.0, 'bytes_per_second': 5.0, 'chunks_count': 1.0, 'attempt': 1}",6,878,125,6,15,1,200,46,120,1,0.02865656667
"{'delay': 534.0, 'rssi': -6.0, 'snr': 6.5, 'time_over_air': 40.0, 'bytes_per_second': 224.0, 'chunks_count': 1.0, 'attempt': 1}",10,862,250,6,10,0,200,91,100,1,0.026352628330000002
"{'delay': 1080.0, 'rssi': -15.0, 'snr': 10.25, 'time_over_air': 473.0, 'bytes_per_second': 19.0, 'chunks_count': 1.0, 'attempt': 1}",10,861,125,8,16,0,200,15,120,1,0.025581291670000002
"{'delay': 974.0, 'rssi': -13.0, 'snr': 14.0, 'time_over_air': 355.0, 'bytes_per_second': 25.0, 'chunks_count': 1.0, 'attempt': 1}",9,863,500,8,14,0,200,76,120,1,0.027305591670000004
"{'delay': 313.0, 'rssi': -15.0, 'snr': 8.0, 'time_over_air': 115.0, 'bytes_per_second': 78.0, 'chunks_count': 1.0, 'attempt': 1}",6,868,250,8,3,1,200,24,80,1,0.03462127
"{'delay': 355.0, 'rssi': -16.0, 'snr': 7.25, 'time_over_air': 16.0, 'bytes_per_second': 562.0, 'chunks_count': 1.0, 'attempt': 1}",10,864,125,5,9,0,200,43,100,1,0.02953018333
"{'delay': 1260.0, 'rssi': -16.0, 'snr': 13.75, 'time_over_air': 535.0, 'bytes_per_second': 16.0, 'chunks_count': 1.0, 'attempt': 1}",12,886,500,8,14,0,200,11,120,1,0.02350627333
"{'delay': 845.0, 'rssi': -7.0, 'snr': 8.0, 'time_over_air': 322.0, 'bytes_per_second': 27.0, 'chunks_count': 1.0, 'attempt': 1}",10,877,125,7,11,0,200,10,100,1,0.027883656670000003
"{'delay': 835.0, 'rssi': -8.0, 'snr': 10.25, 'time_over_air': 297.0, 'bytes_per_second': 30.0, 'chunks_count': 1.0, 'attempt': 1}",9,886,250,6,16,0,200,18,120,1,0.033007425
"{'delay': 294.0, 'rssi': -7.0, 'snr': 14.25, 'time_over_air': 99.0, 'bytes_per_second': 90.0, 'chunks_count': 1.0, 'attempt': 1}",10,873,500,7,6,0,200,40,80,1,0.02767811333
"{'delay': 374.0, 'rssi': -12.0, 'snr': 7.75, 'time_over_air': 136.0, 'bytes_per_second': 66.0, 'chunks_count': 1.0, 'attempt': 1}",11,882,250,5,9,0,200,36,100,1,0.030277480000000002
"{'delay': 1146.0, 'rssi': -9.0, 'snr': 14.0, 'time_over_air': 478.0, 'bytes_per_second': 18.0, 'chunks_count': 1.0, 'attempt': 1}",6,869,500,7,4,1,200,32,80,1,0.03651217667
"{'delay': 194.0, 'rssi': -12.0, 'snr': 3.25, 'time_over_air': 9.0, 'bytes_per_second': 1000.0, 'chunks_count': 1.0, 'attempt': 1}",6,883,125,5,5,1,200,70,80,1,0.02878716667
"{'delay': 490.0, 'rssi': -16.0, 'snr': 6.75, 'time_over_air': 50.0, 'bytes_per_second': 180.0, 'chunks_count': 1.0, 'attempt': 1}",8,886,250,5,4,0,200,57,80,1,0.03307134667
"{'delay': 245.0, 'rssi': -19.0, 'snr': 12.25, 'time_over_air': 87.0, 'bytes_per_second': 103.0, 'chunks_count': 1.0, 'attempt': 1}",10,877,250,5,4,0,200,66,80,1,0.02978759667
"{'delay': 847.0, 'rssi': -17.0, 'snr': 11.75, 'time_over_air': 362.0, 'bytes_per_second': 24.0, 'chunks_count': 1.0, 'attempt': 1}",11,888,500,7,12,0,200,35,100,1,0.02425909167
"{'delay': 651.0, 'rssi': -8.0, 'snr': 6.25, 'time_over_air': 251.0, 'bytes_per_second': 35.0, 'chunks_count': 1.0, 'attempt': 1}",12,877,125,7,15,0,200,7,120,1,0.02006341667
"{'delay': 2979.0, 'rssi': -8.0, 'snr': 10.75, 'time_over_air': 1090.0, 'bytes_per_second': 8.0, 'chunks_count': 1.0, 'attempt': 1}",7,873,500,7,8,0,200,32,100,1,0.022829866670000004
"{'delay': 2979.0, 'rssi': -7.0, 'snr': 11.25, 'time_over_air': 1090.0, 'bytes_per_second': 8.0, 'chunks_count': 1.0, 'attempt': 2}",10,860,125,5,4,0,200,74,80,1,0.028428460000000003
"{'delay': 1769.0, 'rssi': -23.0, 'snr': 13.25, 'time_over_air': 789.0, 'bytes_per_second': 11.0, 'chunks_count': 1.0, 'attempt': 1}",6,882,250,5,7,1,200,51,80,1,0.03303531667
"{'delay': 267.0, 'rssi': -9.0, 'snr': 7.5, 'time_over_air': 21.0, 'bytes_per_second': 428.0, 'chunks_count': 1.0, 'attempt': 1}",9,879,125,7,12,0,200,38,100,1,0.05765697333
"{'delay': 732.0, 'rssi': -9.0, 'snr': 11.75, 'time_over_air': 292.0, 'bytes_per_second': 30.0, 'chunks_count': 1.0, 'attempt': 1}",9,882,125,7,16,0,200,41,120,1,0.02637404167
